pleiades_uri,wikidata_uri,wikidata_label,wikidata_description,wikidata_coordinates,chronique_id,dare_id,geonames_id,gettytgn_id,idaigaz_id,loc_id,manto_id,nomisma_id,topostext_id,trismegistos_id,viaf_id,vici_id,wikipedia_en
https://pleiades.stoa.org/places/207412,http://www.wikidata.org/entity/Q3893080,Sălciua de Sus,"village in Alba County, Romania",Point(23.40244 46.393674),,,668173,,,,,,,,,,
https://pleiades.stoa.org/places/207422,http://www.wikidata.org/entity/Q396884,Șard,"village in Alba County, Romania",Point(23.53361111 46.13),,,668003,,,,,,,,20146522335832390035,,
https://pleiades.stoa.org/places/207423,http://www.wikidata.org/entity/Q391238,Šarkamen,village in Serbia,Point(22.35 44.25),,34865,786074,,,n99008670,,,,,151454596,,https://en.wikipedia.org/wiki/%C5%A0arkamen
https://pleiades.stoa.org/places/207424,http://www.wikidata.org/entity/Q162858,Sarmatians,ethnic group,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Sarmatians
https://pleiades.stoa.org/places/207425,http://www.wikidata.org/entity/Q739802,Sarmizegetusa Regia,ancient Dacian settlement,Point(23.31027778 45.62277778),,19909,,,,sh2014000461,,,456233SSar,30073,315590600,11348,https://en.wikipedia.org/wiki/Sarmizegetusa_Regia
https://pleiades.stoa.org/places/207434,http://www.wikidata.org/entity/Q540432,Scordisci,iron age tribe of Central Europe,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Scordisci
https://pleiades.stoa.org/places/207439,http://www.wikidata.org/entity/Q472,Sofia,capital city of Bulgaria,Point(23.321726 42.697886),,10880,727011,"7009977,7018759",,n79131147,,,,,164770757,,https://en.wikipedia.org/wiki/Sofia
https://pleiades.stoa.org/places/207441,http://www.wikidata.org/entity/Q396988,Șibot,"commune in Alba County, Romania",Point(23.333888888 45.935277777),,,667264,,,,,,,,236579042,,https://en.wikipedia.org/wiki/%C8%98ibot
https://pleiades.stoa.org/places/207443,http://www.wikidata.org/entity/Q1309687,Singidunum,human settlement,Point(20.46 44.82),,10878,,,,,,,448205USin,,,,https://en.wikipedia.org/wiki/Singidunum
https://pleiades.stoa.org/places/207445,http://www.wikidata.org/entity/Q1022831,Sântămăria-Orlea,"commune in Hunedoara County, Romania",Point(22.9706 45.5906),,,666938,,,,,,,,,,https://en.wikipedia.org/wiki/S%C3%A2nt%C4%83m%C4%83ria-Orlea
https://pleiades.stoa.org/places/207453,http://www.wikidata.org/entity/Q615747,Slatina-Nera,"village in Caraș-Severin County, Romania",Point(21.689692 44.915937),,,666761,,,,,,,,,,
https://pleiades.stoa.org/places/207456,http://www.wikidata.org/entity/Q724850,Șoimușeni,"village in Sălaj County, Romania",Point(23.377568 47.336067),,,666515,,,,,,,,,,
https://pleiades.stoa.org/places/207462,http://www.wikidata.org/entity/Q156053,Srebrenica,town in Bosnia and Herzegovina,Point(19.3 44.1),,,3190159,8712249,,nr96032484,,,,,148202777,,https://en.wikipedia.org/wiki/Srebrenica
https://pleiades.stoa.org/places/207464,http://www.wikidata.org/entity/Q2157272,Stănija,"village in Hunedoara County, Romania",Point(22.984749 46.173322),,,666289,,,,,,,,,,
https://pleiades.stoa.org/places/207469,http://www.wikidata.org/entity/Q824620,Strei-Săcel,"village in Hunedoara County, Romania",Point(23.025765 45.745512),,,665995,,,,,,,,,,
https://pleiades.stoa.org/places/207483,http://www.wikidata.org/entity/Q2738810,Tabakovac,"village in Zaječar District, Serbia",Point(22.4294 44.0703),,,785156,,,,,,,,,,https://en.wikipedia.org/wiki/Tabakovac
https://pleiades.stoa.org/places/207484,http://www.wikidata.org/entity/Q2091689,Tabula Traiana,Roman memorial plaque,Point(22.310056685 44.656960733),,,,,,,,,,,8455152865756704940003,,https://en.wikipedia.org/wiki/Tabula_Traiana
https://pleiades.stoa.org/places/207488,http://www.wikidata.org/entity/Q3516187,Taurunum,,Point(20.409 44.8476),,10920,,,,,,,448204FTau,,,,
https://pleiades.stoa.org/places/207490,http://www.wikidata.org/entity/Q682795,Țebea,"village in Hunedoara County, Romania",Point(22.737094 46.162774),,,665363,,,,,,,,,,
https://pleiades.stoa.org/places/207490748,http://www.wikidata.org/entity/Q3322117,Monte Solaro,mountain in Italy,Point(14.22388889 40.54444444),,,3166447,1106521,2087970,,,,,,,,https://en.wikipedia.org/wiki/Monte_Solaro
https://pleiades.stoa.org/places/207493,http://www.wikidata.org/entity/Q3104718,Temska,"village in Pirot District, Serbia",Point(22.5444 43.2608),,,785098,,,,,,,,60148570498324310805,,https://en.wikipedia.org/wiki/Temska
