pleiades,item,itemLabel,chronique_ids,dare_ids,geonames_ids,gettytgn_ids,idaigaz_ids,loc_ids,manto_ids,nomisma_ids,topostext_ids,trismegistos_ids,viaf_ids,vici_ids,wikipedia_en
501627,http://www.wikidata.org/entity/Q60793135,Stolus,,32405,,,,,,,404237PSto,,,,https://en.wikipedia.org/wiki/Stolus
640732795,http://www.wikidata.org/entity/Q688720,Pyramid of Seila,,28618,,,,sh2019102967,,,,,,,https://en.wikipedia.org/wiki/Pyramid_of_Seila
912829,http://www.wikidata.org/entity/Q5103844,Chogha Mish,,27145,36652,,,no97011372,,,,,132831980,21220,https://en.wikipedia.org/wiki/Chogha_Mish
789002572,http://www.wikidata.org/entity/Q389131,"St. John's Island, Egypt",,,346207,,,,,,,6148,,,https://en.wikipedia.org/wiki/Zabargad_Island
658501,http://www.wikidata.org/entity/Q1728921,Karakuş,,36869,,,,,,,379386XKar,,315167820,,https://en.wikipedia.org/wiki/Karaku%C5%9F_Tumulus
542568395,http://www.wikidata.org/entity/Q38280194,ancient Greek theatre of Sicyon,,21937,,,,,,,380227BSTh,,,11382,
177661,http://www.wikidata.org/entity/Q667811,"Vindonissa, Celtic oppidum / Roman legionary camp / civilian settlement",,23,10128977,,,,,,475082UVin,10926,316732417,9980,https://en.wikipedia.org/wiki/Vindonissa
266069,http://www.wikidata.org/entity/Q338174,Totana,,26951,6359543,,,n91052833,,,,,147883909,,https://en.wikipedia.org/wiki/Totana
531051,http://www.wikidata.org/entity/Q7161645,Pelodes,,,,,,,,,398200HPel,,,,https://en.wikipedia.org/wiki/Pelodes
481931,http://www.wikidata.org/entity/Q21095202,Olcinium,,,,,,,,,419192UOlc,,,,
140546,http://www.wikidata.org/entity/Q629660,Port-Sainte-Foy-et-Ponchapt,,,2985937,,,,,,,23269,126958997,,https://en.wikipedia.org/wiki/Port-Sainte-Foy-et-Ponchapt
265951,http://www.wikidata.org/entity/Q3781567,Lobetani,,41980,,,,,,,,,,,https://en.wikipedia.org/wiki/Lobetani
423078,http://www.wikidata.org/entity/Q19716908,Sublaqueum,,,,,,,,,419131USub,41110,,,
177494,http://www.wikidata.org/entity/Q103143913,Augst (Samian Ware Discovery Site),,,,,,,,,,,,,
570028,http://www.wikidata.org/entity/Q2790451,Achaea,,,,,,,10082559,achaea,382219RAch,,,,https://en.wikipedia.org/wiki/Achaea_(ancient_region)
550661,http://www.wikidata.org/entity/Q6427503,Kolonai,,,,,,,10272406,,397262UKol,,,,https://en.wikipedia.org/wiki/Kolonai
491681,http://www.wikidata.org/entity/Q111469782,Ioron,,,,,,,,,,,,,
413332,http://www.wikidata.org/entity/Q179999,Tarquinia,,16705,6536909,7024305,,n79086771,,,,14351,125478941,,https://en.wikipedia.org/wiki/Tarquinia
465912,http://www.wikidata.org/entity/Q731916,Mount Pellegrino,,41289,2523842,1106017,,,,,382133HHer,,245024011,,https://en.wikipedia.org/wiki/Mount_Pellegrino
995604669,http://www.wikidata.org/entity/Q14032965,Tell Qarqur,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Tell_Qarqur
106009165,http://www.wikidata.org/entity/Q3859477,Marino Mithraeum,,45676,,,,,,,,,,27454,
442531,http://www.wikidata.org/entity/Q55017,Casalbore,,26485,6538777,,,,,,,,237032643,,https://en.wikipedia.org/wiki/Casalbore
20647,http://www.wikidata.org/entity/Q8027814,Witaszkowo,,,3081840,,,,,,,,234369039,,https://en.wikipedia.org/wiki/Witaszkowo
638757,http://www.wikidata.org/entity/Q6032054,Apollonia Salbaces,,21181,,,,,,,375290UApo,,,,https://en.wikipedia.org/wiki/Apollonia_Salbaces
678082,http://www.wikidata.org/entity/Q763167,Qanawat,,21513,166141,,,,,,,16645,,,https://en.wikipedia.org/wiki/Qanawat
346876400,http://www.wikidata.org/entity/Q1678694,Kleinkastell Freimühle,,38580,8504541,,,,,,,,,4487,
562474732,http://www.wikidata.org/entity/Q7542758,Small Down Knoll,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Small_Down_Knoll
211425276,http://www.wikidata.org/entity/Q31079,Port Said Governorate,,,358617,1001123,,,,,,,,,https://en.wikipedia.org/wiki/Port_Said_Governorate
